time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2024-12-06 00:00:00,XAU/USD,BUY,2651.44,2618.9,2684.117911,2.0,0.01,162.63,loss,2618.9,2024-12-06 00:00:00,39,-162.63,7969.01,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1456
2024-02-05 16:00:00,USD/JPY,BUY,148.103,144.35,148.884584,2.0,0.02,200.0,win,148.884584,2024-02-05 16:00:00,54,41.65,10041.65,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,154
2024-02-22 16:00:00,USD/JPY,BUY,150.189,147.631,150.684173,2.0,0.03,200.83,win,150.684173,2024-02-22 16:00:00,28,38.88,10080.53,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,234
2024-03-21 08:00:00,USD/JPY,BUY,150.491,147.459,151.271703,2.0,0.03,201.61,win,151.271703,2024-03-21 08:00:00,2,51.91,10132.44,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,356
2024-04-10 12:00:00,USD/JPY,BUY,151.549,148.032,152.266044,2.0,0.03,202.65,win,152.266044,2024-04-10 12:00:00,85,41.32,10173.76,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,444
2024-04-24 12:00:00,USD/JPY,BUY,154.639,151.571,155.085791,2.0,0.03,203.48,win,155.085791,2024-04-24 12:00:00,24,29.63,10203.39,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,506
2024-05-22 20:00:00,USD/JPY,BUY,156.419,153.413,156.808117,2.0,0.03,204.07,win,156.808117,2024-05-22 20:00:00,37,26.42,10229.8,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,632
2024-07-01 16:00:00,USD/JPY,BUY,157.046,153.601,161.5245,2.0,0.03,204.6,win,161.5245,2024-07-01 16:00:00,163,265.98,10495.78,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,805
2024-07-17 08:00:00,USD/JPY,BUY,160.51,157.158,164.8676,2.0,0.03,204.6,loss,157.158,2024-07-17 08:00:00,92,-204.6,10291.18,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,877
2024-08-14 04:00:00,USD/JPY,SELL,147.325,150.893,146.404518,2.0,0.03,205.82,win,146.404518,2024-08-14 04:00:00,7,53.1,10344.28,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,1000
